payment_date,code,codeLated,amount,amountRetarded,creditId,companyId
lunes,7000000095812447,,298.81,,352295697315299,1
martes,7000000095812496,,298.81,,352295697315398,1
miércoles,7000000095812538,,284.00,,352295697318087,1
jueves,7000000095812587,,283.00,,352295697318160,1
viernes,7000000095812652,,284.00,,352295697318194,1
sábado,7000000095812678,,298.81,,352295697318269,1
domingo,7000000095812710,,284.00,,352295697318277,1
lunes,7000000095812736,,283.00,,352295697318293,1
martes,7000000095814021,,298.81,,352295697318459,1
miércoles,7000000095814146,7000000095814211,315.85,335.85,352350276924365,1
jueves,7000000095814260,7000000095814294,172.56,192.56,352410482738783,1
viernes,7000000095814328,,219.27,,352416460209432,1
sábado,7000000095814369,7000000095814393,96.90,116.90,352416460209507,1
domingo,7000000095814419,7000000095814476,157.90,177.90,352416460209606,1
lunes,7000000095814518,7000000095814567,157.90,177.90,352416460210000,1
martes,7000000095814617,7000000095814658,215.32,235.32,352416460210109,1
miércoles,7000000095814708,7000000095814740,157.90,177.90,352416460210117,1
jueves,7000000095814807,7000000095814815,157.90,177.90,352416460210125,1
viernes,7000000095814872,7000000095814930,157.90,177.90,352416460210224,1
sábado,7000000095814989,7000000095815044,387.58,407.58,352416460210794,1
domingo,7000000095815218,7000000095815267,215.32,235.32,352416460211073,1
lunes,7000000095815309,7000000095815317,161.49,181.49,352416460211388,1
martes,7000000095815358,7000000095815408,161.49,181.49,352416460211438,1
miércoles,7000000095815481,7000000095815515,301.45,321.45,352416460211610,1
jueves,7000000095815564,7000000095815580,157.90,177.90,352416460211669,1
viernes,7000000095815614,7000000095815689,161.49,181.49,352416460211701,1
sábado,7000000095815754,7000000095815853,387.58,407.58,352416460211768,1
domingo,7000000095815879,7000000095815911,96.90,116.90,352416460211776,1
lunes,7000000095816042,7000000095816083,130.83,150.83,352432211750780,1
martes,7000000095816158,7000000095816190,249.76,269.76,352432211751051,1
miércoles,7000000095817495,7000000095817552,178.40,198.40,352432211751812,1
jueves,7000000095817610,7000000095817669,133.80,153.80,352432211751846,1
viernes,7000000095817701,7000000095817727,178.40,198.40,352432211752117,1
sábado,7000000095817750,7000000095817776,321.12,341.12,352432211752232,1
domingo,7000000095817792,7000000095817834,133.80,153.80,352432211753446,1
lunes,7000000095817875,7000000095817925,178.40,198.40,352432211753842,1
martes,7000000095817982,7000000095818014,178.40,198.40,352432211870125,1
miércoles,7000000095818055,7000000095818113,178.40,198.40,352432211870158,1
jueves,7000000095818147,7000000095818188,178.40,198.40,352432211876379,1
viernes,7000000095818204,7000000095818238,80.28,100.28,352432211887988,1
sábado,7000000095818253,7000000095818287,130.83,150.83,352432211887996,1
domingo,7000000095818337,7000000095818360,178.40,198.40,352432211888176,1
lunes,7000000095818436,7000000095818444,130.83,150.83,352432211888432,1
martes,7000000095818485,7000000095818535,249.76,269.76,352432211888572,1
miércoles,7000000095818626,7000000095818634,321.12,341.12,352432211888671,1
jueves,7000000095818667,7000000095818717,178.40,198.40,352432211888796,1
viernes,7000000095818766,7000000095818782,178.40,198.40,352432213256729,1
sábado,7000000095818832,7000000095818857,133.80,153.80,352432213261869,1
domingo,7000000095818881,7000000095818923,178.40,198.40,352432213262099,1
lunes,7000000095818972,7000000095819046,130.83,150.83,352432213271702,1
martes,7000000095819111,7000000095819152,133.80,153.80,352432213274334,1
miércoles,7000000096268714,7000000096268797,141.18,161.18,356776971807370,1
jueves,7000000095819202,7000000095819251,321.12,341.12,352432213274557,1
viernes,7000000095819319,7000000095819350,249.76,269.76,352432213274631,1
sábado,7000000095819400,7000000095819442,130.83,150.83,352432213274771,1
domingo,7000000095819467,7000000095819533,130.83,150.83,352432213275034,1
lunes,7000000095821000,7000000095821059,133.80,153.80,352432213275356,1
martes,7000000095821075,7000000095821117,130.83,150.83,352432213275372,1
miércoles,7000000095821141,7000000095821208,130.83,150.83,352432213275422,1
jueves,7000000095821273,7000000095821307,321.12,341.12,352432213739229,1
viernes,7000000095821331,7000000095821349,178.40,198.40,352432213739302,1
sábado,7000000095821364,7000000095821406,321.12,341.12,352432213741829,1
domingo,7000000095821497,7000000095821547,321.12,341.12,352432213744336,1
lunes,7000000095821638,,176.00,,352432213744351,1
martes,7000000095821679,7000000095821695,130.83,150.83,352432215234211,1
miércoles,7000000095821760,7000000095821810,130.83,150.83,352432215234351,1
jueves,7000000095821877,7000000095821943,178.40,198.40,352432215234724,1
viernes,7000000095821968,7000000095822008,178.40,198.40,352432215234765,1
sábado,7000000095822057,7000000095822099,178.40,198.40,352432215235069,1
domingo,7000000095822131,,175.00,,352432215235507,1
lunes,7000000095822206,7000000095822255,130.83,150.83,352432215235911,1
martes,7000000095822263,7000000095822321,321.12,341.12,352432215235937,1
miércoles,7000000095822354,7000000095822388,196.86,216.86,352432215236448,1
jueves,7000000095822438,7000000095822487,133.80,153.80,352432215236455,1
viernes,7000000095822560,7000000095822586,133.80,153.80,352432215236489,1
sábado,7000000095822644,7000000095822669,178.40,198.40,352432215236497,1
domingo,7000000095822776,7000000095822818,130.83,150.83,352432215236505,1
lunes,7000000095822875,,176.00,,352432215459719,1
martes,7000000095822883,7000000095822941,178.40,198.40,352432215460105,1
miércoles,7000000095822974,7000000095823030,178.40,198.40,352432215460675,1
jueves,7000000095823089,7000000095823105,249.76,269.76,352432215461038,1
viernes,7000000095824483,,175.38,,352432215464453,1
sábado,7000000095824533,7000000095824574,130.83,150.83,352432215464982,1
domingo,7000000095824616,7000000095824657,130.83,150.83,352432215464990,1
lunes,7000000095824681,7000000095824764,249.76,269.76,352432215465534,1
martes,7000000095824806,7000000095824863,133.80,153.80,352432215465625,1
miércoles,7000000095824913,,188.91,,352432215466433,1
jueves,7000000095824939,7000000095824970,98.12,118.12,352432215466490,1
viernes,7000000095825001,7000000095825035,178.40,198.40,352432215466508,1
sábado,7000000095825084,7000000095825142,130.83,150.83,352432215466540,1
domingo,7000000095825217,7000000095825266,178.40,198.40,352432215466938,1
lunes,7000000095825316,7000000095825340,130.83,150.83,352432215467472,1
martes,7000000095825449,7000000095825480,178.40,198.40,352432215468850,1
miércoles,7000000095825530,7000000095825563,133.80,153.80,352432215468868,1
jueves,7000000095825589,,175.38,,352432215470583,1
viernes,7000000095825639,7000000095825696,130.83,150.83,352432215470625,1
sábado,7000000095825738,7000000095825761,133.80,153.80,352432215471169,1
domingo,7000000095825779,7000000095825811,178.40,198.40,352432215471516,1
lunes,7000000095825878,7000000095825928,178.40,198.40,352432215471904,1
martes,7000000095825977,,175.38,,352432215472092,1
miércoles,7000000095826025,7000000095826090,275.61,295.61,352432215472274,1
jueves,7000000095826165,7000000095826215,249.76,269.76,352432215472563,1
viernes,7000000095826348,,175.38,,352432215472704,1
sábado,7000000095826454,7000000095826470,178.40,198.40,352432215472993,1
domingo,7000000095826538,,175.38,,352432215473256,1
lunes,7000000095827528,,175.00,,352432215473710,1
martes,7000000095827577,7000000095827668,321.12,341.12,352432215473900,1
miércoles,7000000095827726,7000000095827767,178.40,198.40,352432215474676,1
jueves,7000000095827809,7000000095827882,178.40,198.40,352432215474726,1
viernes,7000000095827916,7000000095827940,196.86,216.86,352432215475038,1
sábado,7000000095827999,7000000095828047,130.83,150.83,352432215475632,1
domingo,7000000095828088,,176.00,,352432215475780,1
lunes,7000000095828112,7000000095828179,178.40,198.40,352432215476192,1
martes,7000000095828203,7000000095828245,130.83,150.83,352432215476200,1
miércoles,7000000095828310,,175.38,,352432215476218,1
jueves,7000000095828351,7000000095828419,130.83,150.83,352432215476242,1
viernes,7000000095828443,7000000095828476,144.37,164.37,352432216131309,1
sábado,7000000095828500,7000000095828567,178.40,198.40,352432216143130,1
domingo,7000000095828617,,175.38,,352432216146018,1
lunes,7000000095828658,7000000095828716,130.83,150.83,352432216150630,1
martes,7000000095828757,,175.38,,352432216150648,1
miércoles,7000000095828773,7000000095828815,147.65,167.65,352432216173145,1
jueves,7000000095828831,7000000095828880,249.76,269.76,352432216173541,1
viernes,7000000096287581,7000000096287649,265.74,285.74,357429533791703,1
sábado,7000000095828898,,175.38,,352432216173566,1
domingo,7000000095828914,,175.38,,352432216173863,1
lunes,7000000095828955,7000000095828989,249.76,269.76,352432216174606,1
martes,7000000095829003,7000000095829029,237.92,257.92,352570130194612,1
miércoles,7000000095829052,7000000095829102,309.18,329.18,352570130470616,1
jueves,7000000095829177,7000000095829235,117.29,137.29,352632943409940,1
viernes,7000000095829292,7000000095829342,159.94,179.94,352632944967078,1
sábado,7000000095830332,7000000095830373,71.97,91.97,352632948731090,1
domingo,7000000095830415,7000000095830506,117.29,137.29,352632949639698,1
lunes,7000000095830548,7000000095830597,347.44,367.44,352838651162684,1
martes,7000000095830662,7000000095830704,347.44,367.44,352838651162882,1
miércoles,7000000095830720,7000000095830811,213.20,233.20,352838651166305,1
jueves,7000000095830837,7000000095830878,355.34,375.34,352838651166388,1
viernes,7000000095830928,7000000095830951,473.78,493.78,352838651180157,1
sábado,7000000095830985,7000000095831033,347.44,367.44,352838651181486,1
domingo,7000000095831082,7000000095831132,355.34,375.34,352838651181544,1
lunes,7000000095831199,7000000095831280,355.34,375.34,352838651181569,1
martes,7000000095831314,7000000095831363,473.78,493.78,352838651184480,1
miércoles,7000000095831405,7000000095831439,347.44,367.44,352838651193291,1
jueves,7000000095831462,7000000095831512,347.44,367.44,352838651193309,1
viernes,7000000095831561,7000000095831629,347.44,367.44,352838651194166,1
sábado,7000000095831645,7000000095831652,473.78,493.78,352838651210822,1
domingo,7000000095831694,7000000095831736,213.20,233.20,352838651212372,1
lunes,7000000095831777,7000000095831827,347.44,367.44,352838651213420,1
martes,7000000095831850,7000000095831918,347.44,367.44,352838651226034,1
miércoles,7000000095831942,7000000095831983,473.78,493.78,352838651227198,1
jueves,7000000095832049,7000000095832056,473.78,493.78,352838651227610,1
viernes,7000000095832098,7000000095832122,347.44,367.44,352838651227784,1
sábado,7000000095832148,7000000095832197,347.44,367.44,352838651228162,1
domingo,7000000095832221,7000000095832288,355.34,375.34,352838651228246,1
lunes,7000000095832304,7000000095832395,260.58,280.58,352838651228436,1
martes,7000000095832452,7000000095832502,213.20,233.20,352838651230820,1
miércoles,7000000095834102,7000000095834151,355.34,375.34,352838651948850,1
jueves,7000000095834193,7000000095834318,260.58,280.58,352838652766954,1
viernes,7000000095834359,7000000095834425,355.34,375.34,352838653014925,1
sábado,7000000095834482,7000000095834581,347.44,367.44,352838653060589,1
domingo,7000000095834649,7000000095834664,347.44,367.44,352838653060852,1
lunes,7000000095834698,7000000095834748,355.34,375.34,352838653062924,1
martes,7000000095834797,7000000095834813,213.20,233.20,352838653064409,1
miércoles,7000000095834854,7000000095834896,347.44,367.44,352838653068814,1
jueves,7000000095834953,7000000095834995,852.81,872.81,352838653069168,1
viernes,7000000095835026,7000000095835075,473.78,493.78,352838653069549,1
sábado,7000000095835109,7000000095835141,213.20,233.20,352838653071834,1
domingo,7000000095835182,7000000095835265,663.30,683.30,352838653072097,1
lunes,7000000095835315,7000000095835398,473.78,493.78,352838653079779,1
martes,7000000095835448,7000000095835463,347.44,367.44,352838653125481,1
miércoles,7000000095835497,7000000095835521,213.20,233.20,352838653125739,1
jueves,7000000095835604,7000000095835653,260.58,280.58,352838653126174,1
viernes,7000000095835695,7000000095835778,355.34,375.34,352838653128576,1
sábado,7000000095835836,7000000095835885,260.58,280.58,352838653128709,1
domingo,7000000095835943,7000000095835968,347.44,367.44,352838653721784,1
lunes,7000000095836008,7000000095836057,315.85,335.85,352838653722006,1
martes,7000000095836073,7000000095836107,260.58,280.58,352838653722121,1
miércoles,7000000095836172,7000000095836180,213.20,233.20,352838653722303,1
jueves,7000000095836263,7000000095836305,852.81,872.81,352838653722535,1
viernes,7000000095836347,7000000095836396,355.34,375.34,352838653722980,1
sábado,7000000095836453,7000000095836503,347.44,367.44,352838653723525,1
domingo,7000000095838046,7000000095838095,355.34,375.34,352838653723970,1
lunes,7000000095927641,7000000095927682,277.18,297.18,354314902119749,1
martes,7000000095838129,7000000095838160,347.44,367.44,352838653724184,1
miércoles,7000000095838236,7000000095838285,213.20,233.20,352838653724317,1
jueves,7000000095838350,7000000095838400,347.44,367.44,352838653728805,1
viernes,7000000095838459,7000000095838517,347.44,367.44,352838653729050,1
sábado,7000000095838574,7000000095838616,355.34,375.34,352838653730173,1
domingo,7000000095838657,7000000095838756,473.78,493.78,352838653730298,1
lunes,7000000095838780,7000000095838830,347.44,367.44,352838653734209,1
martes,7000000095838855,7000000095838871,347.44,367.44,352838653738119,1
miércoles,7000000095838947,7000000095838954,355.34,375.34,352838653738473,1
jueves,7000000095838996,7000000095839044,347.44,367.44,352838653739760,1
viernes,7000000095839085,7000000095839127,355.34,375.34,352838653749470,1
sábado,7000000095839176,7000000095839200,213.20,233.20,352838653757986,1
domingo,7000000095839234,7000000095839283,347.44,367.44,352838653773280,1
lunes,7000000095839309,7000000095839333,260.58,280.58,352838653773355,1
martes,7000000095839358,7000000095839424,355.34,375.34,352838653779139,1
miércoles,7000000095839473,7000000095839507,355.34,375.34,352838653779162,1
jueves,7000000095839531,7000000095839580,347.44,367.44,352838653888609,1
viernes,7000000095839648,7000000095839655,213.20,233.20,352838654317400,1
sábado,7000000095839705,7000000095839747,213.20,233.20,352838655613245,1
domingo,7000000095839788,7000000095839861,323.03,343.03,352838656658389,1
lunes,7000000095839929,7000000095839978,315.85,335.85,352838656665756,1
martes,7000000095840018,7000000095840059,323.03,343.03,352838656670939,1
miércoles,7000000095840232,7000000095840323,315.85,335.85,352838656671705,1
jueves,7000000095840380,7000000095840448,430.71,450.71,352838656673834,1
viernes,7000000095842113,7000000095842147,775.27,795.27,352838656673982,1
sábado,7000000095842188,7000000095842253,323.03,343.03,352838656678031,1
domingo,7000000095930348,7000000095930363,283.02,303.02,354314905721640,1
lunes,7000000095842295,7000000095842345,315.85,335.85,352838656678072,1
martes,7000000095842410,7000000095842444,347.44,367.44,352838656681407,1
miércoles,7000000095842493,7000000095842535,315.85,335.85,352838656681498,1
jueves,7000000095842550,7000000095842634,775.27,795.27,352838656681522,1
viernes,7000000095842717,7000000095842758,315.85,335.85,352838657796626,1
sábado,7000000095842816,7000000095842881,315.85,335.85,352838657797285,1
domingo,7000000095842915,7000000095842972,323.03,343.03,352838657803257,1
lunes,7000000096120485,7000000096120691,141.18,161.18,355748170731694,1
martes,7000000095842998,7000000095843079,315.85,335.85,352838658105793,1
miércoles,7000000095843103,7000000095843152,430.71,450.71,352838658105827,1
jueves,7000000095843202,7000000095843269,430.71,450.71,352838658105850,1
viernes,7000000095843301,7000000095843368,323.03,343.03,352838658108821,1
sábado,7000000095843376,7000000095843384,315.85,335.85,352838658125544,1
domingo,7000000095843434,7000000095843483,315.85,335.85,352838658533085,1
lunes,7000000095843517,7000000095843566,315.85,335.85,352838659117409,1
martes,7000000095843608,7000000095843673,315.85,335.85,352838659118324,1
miércoles,7000000095843723,7000000095843814,180.47,200.47,352971682701509,1
jueves,7000000095843830,7000000095843855,203.03,223.03,352971684061803,1
viernes,7000000095843947,7000000095843962,175.95,195.95,352983400111127,1
sábado,7000000095844036,7000000095844101,138.43,158.43,352983400127438,1
domingo,7000000095844135,7000000095844168,119.21,139.21,352983400195401,1
lunes,7000000095844192,7000000095844234,148.69,168.69,352983400198967,1
martes,7000000095844309,7000000095844333,261.49,281.49,352983400203692,1
miércoles,7000000095844408,7000000095844440,148.69,168.69,352983400256336,1
jueves,7000000095845934,7000000095845983,119.21,139.21,352983400279379,1
viernes,7000000095846015,7000000095846049,307.63,327.63,352983400285525,1
sábado,7000000095846106,7000000095846148,215.32,235.32,352983400296555,1
domingo,7000000095846171,7000000095846213,225.60,245.60,352983400299492,1
lunes,7000000095846254,7000000095846304,175.95,195.95,352983400302767,1
martes,7000000095846346,7000000095846395,157.90,177.90,352983400309036,1
miércoles,7000000095846411,7000000095846452,142.28,162.28,352983400320934,1
jueves,7000000095846528,7000000095846569,119.21,139.21,352983400365004,1
viernes,7000000095846627,7000000095846668,148.69,168.69,352983401768669,1
sábado,7000000095846718,7000000095846759,148.69,168.69,352983401860540,1
domingo,7000000095846783,7000000095846890,148.69,168.69,352983401861480,1
lunes,7000000095847021,7000000095847096,142.28,162.28,352983402019393,1
martes,7000000095847179,7000000095847252,225.60,245.60,352983402019401,1
miércoles,7000000095847310,7000000095847344,119.21,139.21,352983402019427,1
jueves,7000000095847419,7000000095847468,175.95,195.95,352983402020177,1
viernes,7000000095847526,7000000095847583,119.21,139.21,352983402020813,1
sábado,7000000095847666,7000000095847716,148.69,168.69,352983402032701,1
domingo,7000000095847781,7000000095847799,175.95,195.95,352983402082409,1
lunes,7000000095847807,7000000095847831,169.20,189.20,352983402152103,1
martes,7000000095847856,7000000095847914,189.71,209.71,352983403701767,1
miércoles,7000000095847930,7000000095847997,230.72,250.72,352983403703102,1
jueves,7000000095848052,7000000095848169,261.49,281.49,352983403718266,1
viernes,7000000095848227,7000000095848268,142.28,162.28,352983403719009,1
sábado,7000000095848318,7000000095848359,119.21,139.21,352983403720486,1
domingo,7000000095849613,7000000095849670,157.90,177.90,352983403721849,1
lunes,7000000095849712,7000000095849753,239.94,259.94,352983403939862,1
martes,7000000095849787,7000000095849829,225.60,245.60,352983403940076,1
miércoles,7000000095849860,7000000095849894,138.43,158.43,352983404071756,1
jueves,7000000095849977,7000000095850017,225.60,245.60,352983404071889,1
viernes,7000000095850058,7000000095850090,230.72,250.72,352983404073984,1
sábado,7000000095850124,7000000095850157,225.60,245.60,352983404075195,1
domingo,7000000095850199,7000000095850207,169.20,189.20,352983404075518,1
lunes,7000000095850272,7000000095850314,138.43,158.43,352983404076797,1
martes,7000000095850371,7000000095850421,261.49,281.49,352983404078447,1
miércoles,7000000096308890,7000000096308916,206.43,226.43,359386601153844,1
jueves,7000000095850488,7000000095850512,179.95,199.95,352983404078827,1
viernes,7000000095850579,7000000095850629,175.95,195.95,352983404081813,1
sábado,7000000095850660,7000000095850728,261.49,281.49,352983404083793,1
domingo,7000000095850777,7000000095850801,138.43,158.43,352983404087315,1
lunes,7000000095850876,7000000095850926,138.43,158.43,352983404087323,1
martes,7000000095850975,7000000095851015,189.71,209.71,352983404087372,1
miércoles,7000000095851049,7000000095851072,239.94,259.94,352983404088677,1
jueves,7000000095851114,7000000095851171,169.20,189.20,352983404089691,1
viernes,7000000095851221,7000000095851270,228.80,248.80,352983404092448,1
sábado,7000000095851304,7000000095851353,307.63,327.63,352983404093024,1
domingo,7000000095851445,7000000095851494,138.43,158.43,352983404093222,1
lunes,7000000095851536,7000000095851544,138.43,158.43,352983404094741,1
martes,7000000095851569,7000000095851635,138.43,158.43,352983404095664,1
miércoles,7000000095851643,7000000095851692,261.49,281.49,352983404097512,1
jueves,7000000095851734,7000000095851767,175.95,195.95,352983404097769,1
viernes,7000000095853110,7000000095853169,307.63,327.63,352983404103740,1
sábado,7000000095853227,7000000095853268,169.20,189.20,352983404104383,1
domingo,7000000095853326,7000000095853375,261.49,281.49,352983404104920,1
lunes,7000000095853417,7000000095853466,225.60,245.60,352983404105596,1
martes,7000000095853516,7000000095853581,169.20,189.20,352983404108863,1
miércoles,7000000095853664,7000000095853748,148.69,168.69,352983404265382,1
jueves,7000000095853797,7000000095853847,148.69,168.69,352983404265499,1
viernes,7000000095853896,7000000095853920,138.43,158.43,352983404266364,1
sábado,7000000095853961,7000000095854019,119.21,139.21,352983404340011,1
domingo,7000000095854076,7000000095854100,107.97,127.97,352983406586314,1
lunes,7000000095854159,7000000095854209,239.94,259.94,352983406586496,1
martes,7000000095916016,7000000095916081,152.26,172.26,354208760144445,1
miércoles,7000000095854258,7000000095854282,228.80,248.80,352983406588914,1
jueves,7000000095854365,7000000095854423,307.63,327.63,352983406589060,1
viernes,7000000095854472,7000000095854506,261.49,281.49,352983406589391,1
sábado,7000000095854548,7000000095854589,131.97,151.97,352983406589599,1
domingo,7000000095854621,7000000095854704,225.60,245.60,352983406589821,1
lunes,7000000095854779,7000000095854852,175.95,195.95,352983406593203,1
martes,7000000095854894,7000000095854936,96.90,116.90,352983406595844,1
miércoles,7000000095854993,7000000095855024,261.49,281.49,352983406597477,1
jueves,7000000095855057,7000000095855123,225.60,245.60,352983406597543,1
viernes,7000000095855156,7000000095855198,175.95,195.95,352983406599879,1
sábado,7000000095855222,7000000095855248,169.20,189.20,352983406601733,1
domingo,7000000095855305,7000000095855354,261.49,281.49,352983406608407,1
lunes,7000000095855446,7000000095855503,175.95,195.95,352983406618141,1
martes,7000000095855537,7000000095855586,107.97,127.97,352983406620352,1
miércoles,7000000095857137,7000000095857202,138.43,158.43,352983406622101,1
jueves,7000000095857269,7000000095857327,261.49,281.49,352983406643560,1
viernes,7000000095857392,7000000095857442,175.95,195.95,352983406643578,1
sábado,7000000095857483,7000000095857517,228.80,248.80,352983406792938,1
domingo,7000000095857558,7000000095857566,230.72,250.72,352983406795980,1
lunes,7000000095857590,7000000095857624,261.49,281.49,352983406796004,1
martes,7000000095857665,7000000095857681,230.72,250.72,352983406797051,1
miércoles,7000000095857715,7000000095857756,261.49,281.49,352983406798331,1
jueves,7000000095900028,7000000095900119,94.13,114.13,354028674498657,1
viernes,7000000095857780,7000000095857822,239.94,259.94,352983406798380,1
sábado,7000000095857863,7000000095857913,230.72,250.72,352983406801382,1
domingo,7000000095857954,7000000095858002,179.95,199.95,352983406801846,1
lunes,7000000095858044,7000000095858085,261.49,281.49,352983406803099,1
martes,7000000095858127,7000000095858184,175.95,195.95,352983406851908,1
miércoles,7000000095858218,7000000095858242,169.20,189.20,352983406852070,1
jueves,7000000095858317,7000000095858382,175.95,195.95,352983406864422,1
viernes,7000000095858432,7000000095858499,230.72,250.72,352983406997636,1
sábado,7000000095858531,7000000095858622,230.72,250.72,352983406997651,1
domingo,7000000095858739,7000000095858788,179.95,199.95,352983407049254,1
lunes,7000000095858846,7000000095858895,169.20,189.20,352983407050435,1
martes,7000000095858945,7000000095858994,179.95,199.95,352983407050740,1
miércoles,7000000095859059,7000000095859109,261.49,281.49,352983407051383,1
jueves,7000000095859174,7000000095859224,225.60,245.60,352983407055749,1
viernes,7000000095859240,7000000095859315,169.20,189.20,352983407067678,1
sábado,7000000095859364,7000000095859430,261.49,281.49,352983407074195,1
domingo,7000000095859505,7000000095859521,261.49,281.49,352983407076000,1
lunes,7000000095861410,7000000095861436,138.43,158.43,352983407076026,1
martes,7000000095861477,7000000095861535,225.60,245.60,352983407076315,1
miércoles,7000000095861592,7000000095861659,215.32,235.32,352983408918598,1
jueves,7000000095861709,7000000095861758,215.32,235.32,352983408918853,1
viernes,7000000095861782,7000000095861865,157.90,177.90,352983408923671,1
sábado,7000000095861899,7000000095861949,157.90,177.90,352983408924521,1
domingo,7000000095861964,7000000095862020,157.90,177.90,352983408924570,1
lunes,7000000095862053,7000000095862061,118.43,138.43,352983408925023,1
martes,7000000095862103,7000000095862160,157.90,177.90,352983408926831,1
miércoles,7000000095862210,7000000095862244,215.32,235.32,352983408932318,1
jueves,7000000095862301,7000000095862368,157.90,177.90,352983408972694,1
viernes,7000000095862434,7000000095862483,157.90,177.90,352983408978931,1
sábado,7000000095862517,7000000095862541,157.90,177.90,352983408982750,1
domingo,7000000095862608,7000000095862665,157.90,177.90,352983408982792,1
lunes,7000000095862673,7000000095862723,157.90,177.90,352983409752236,1
martes,7000000095862780,7000000095862822,161.49,181.49,352983409755841,1
miércoles,7000000095862855,7000000095862905,118.43,138.43,352983409755999,1
jueves,7000000095862962,7000000095862996,157.90,177.90,352983409756153,1
viernes,7000000095863010,7000000095863051,161.49,181.49,352983409756203,1
sábado,7000000095863101,7000000095863184,157.90,177.90,352983409758308,1
domingo,7000000095863192,7000000095863242,157.90,177.90,352983409758357,1
lunes,7000000095863309,7000000095863325,215.32,235.32,352983409758399,1
martes,7000000095863374,7000000095863432,157.90,177.90,352983409758860,1
miércoles,7000000095863457,7000000095863499,157.90,177.90,352983409758894,1
jueves,7000000095863531,7000000095863564,215.32,235.32,352983409760551,1
viernes,7000000095864851,7000000095864919,157.90,177.90,352983409762029,1
sábado,7000000095864943,7000000095865007,215.32,235.32,352983409762243,1
domingo,7000000095865031,7000000095865064,157.90,177.90,352983409768331,1
lunes,7000000095865122,7000000095865163,118.43,138.43,352983409768364,1
martes,7000000095865197,7000000095865247,215.32,235.32,352983409780096,1
miércoles,7000000095865288,7000000095865361,215.32,235.32,352983409780161,1
jueves,7000000095865429,7000000095865460,118.43,138.43,352983409782647,1
viernes,7000000095865502,7000000095865593,157.90,177.90,352983409784825,1
sábado,7000000095865643,7000000095865692,157.90,177.90,352983409784866,1
domingo,7000000095865742,7000000095865775,215.32,235.32,352983409899078,1
lunes,7000000095865809,7000000095865841,157.90,177.90,352983409899169,1
martes,7000000095865874,7000000095865890,161.49,181.49,352983409899318,1
miércoles,7000000095865932,7000000095865981,215.32,235.32,352983409903524,1
jueves,7000000095903261,7000000095903337,156.88,176.88,354028674516110,1
viernes,7000000095866047,7000000095866088,161.49,181.49,352983409903557,1
sábado,7000000095866146,7000000095866179,387.58,407.58,352983409904092,1
domingo,7000000095866195,7000000095866237,161.49,181.49,352983409911519,1
lunes,7000000095866278,7000000095866302,161.49,181.49,352983409911626,1
martes,7000000095866351,7000000095866393,157.90,177.90,352983409911634,1
miércoles,7000000095866443,7000000095866518,157.90,177.90,352983409915403,1
jueves,7000000095866526,7000000095866583,215.32,235.32,352983409915478,1
viernes,7000000095866666,7000000095866708,157.90,177.90,352983409915502,1
sábado,7000000095866732,7000000095866765,229.82,249.82,353196210463179,1
domingo,7000000095866799,7000000095866898,510.71,530.71,353196210508395,1
lunes,7000000095866922,7000000095866997,510.71,530.71,353196210509393,1
martes,7000000095867011,7000000095867086,510.71,530.71,353196210509484,1
miércoles,7000000095868746,7000000095868803,374.52,394.52,353196210510854,1
jueves,7000000095868837,7000000095868910,229.82,249.82,353196210530688,1
viernes,7000000095868944,7000000095868985,347.44,367.44,353196210531199,1
sábado,7000000095869025,7000000095869066,510.71,530.71,353196210532197,1
domingo,7000000095869108,7000000095869132,229.82,249.82,353196210534136,1
lunes,7000000095869173,7000000095869231,280.89,300.89,353196210534375,1
martes,7000000095869272,7000000095869306,374.52,394.52,353196210607635,1
miércoles,7000000095869355,7000000095869405,198.72,218.72,353417141621994,1
jueves,7000000095869512,7000000095869553,105.20,125.20,353417141622067,1
viernes,7000000095869595,7000000095869652,128.58,148.58,353417141622976,1
sábado,7000000095869710,7000000095869728,198.72,218.72,353417141623065,1
domingo,7000000095869744,7000000095869793,198.72,218.72,353417141623081,1
lunes,7000000095869876,7000000095869926,80.28,100.28,353432211754170,1
martes,7000000095869959,7000000095870015,135.34,155.34,353829854358889,1
miércoles,7000000095870049,7000000095870080,184.55,204.55,353829854365041,1
jueves,7000000095870106,7000000095870155,135.34,155.34,353829854370017,1
viernes,7000000095870197,7000000095870213,184.55,204.55,353829854470205,1
sábado,7000000095870247,7000000095870270,184.55,204.55,353829854471385,1
domingo,7000000095870346,7000000095870379,184.55,204.55,353829854471641,1
lunes,7000000095870403,7000000095870452,135.34,155.34,353829854708034,1
martes,7000000095870494,7000000095870502,184.55,204.55,353829854722662,1
miércoles,7000000095870551,7000000095870585,184.55,204.55,353829854777609,1
jueves,7000000095870619,7000000095870643,135.34,155.34,353829854777682,1
viernes,7000000095870692,7000000095870767,135.34,155.34,353829854780777,1
sábado,7000000095870817,7000000095870841,138.42,158.42,353829854790859,1
domingo,7000000095872243,7000000095872300,135.34,155.34,353829854790974,1
lunes,7000000095872342,7000000095872391,135.34,155.34,353829854794067,1
martes,7000000095872458,7000000095872482,135.34,155.34,353829854794182,1
miércoles,7000000095872557,7000000095872599,138.42,158.42,353829854794331,1
jueves,7000000095872649,7000000095872714,135.34,155.34,353829854830523,1
